Serial No,Date,Entry Time,Exit Time,Position Type,Entry Price,Exit Price,Profit
1,06-02-25,14:30,15:00,buy,190.222,189.908,-0.314
2,06-02-25,15:00,17:30,sell,189.908,188.742,1.166
3,06-02-25,19:00,22:00,sell,188.556,188.902,-0.346
4,07-02-25,16:00,19:00,sell,189.441,188.718,0.723
5,07-02-25,19:15,20:30,buy,188.888,188.541,-0.347
6,07-02-25,20:30,22:00,sell,188.541,187.117,1.424
7,10-02-25,17:00,21:15,sell,188.774,187.838,0.936
8,11-02-25,16:30,20:45,buy,188.2,189.335,1.135
9,12-02-25,14:30,18:45,sell,190.869,191.083,-0.214
10,12-02-25,19:15,22:00,buy,191.308,192.252,0.944
11,13-02-25,14:00,18:15,sell,192.324,191.812,0.512
12,13-02-25,19:00,22:00,sell,191.516,191.832,-0.316
13,14-02-25,14:30,15:00,buy,192.376,192.079,-0.297
14,14-02-25,15:00,18:45,sell,192.079,192.37,-0.291
15,14-02-25,19:45,22:00,buy,192.008,191.93,-0.078
16,17-02-25,14:15,18:30,sell,191.087,190.803,0.284
17,17-02-25,19:30,22:00,sell,190.684,190.946,-0.262
18,18-02-25,14:00,18:15,sell,191.606,191.0,0.606
19,18-02-25,21:15,22:00,buy,191.321,191.416,0.095
20,19-02-25,14:30,15:00,buy,191.468,191.12,-0.348
21,19-02-25,15:00,18:45,sell,191.12,191.17,-0.05
22,19-02-25,19:15,22:00,sell,191.002,190.764,0.238
23,20-02-25,14:00,18:15,sell,189.399,189.111,0.288
24,20-02-25,19:00,22:00,buy,189.182,189.18,-0.002
25,21-02-25,16:00,20:15,sell,190.227,189.594,0.633
26,21-02-25,21:15,22:00,buy,189.008,189.054,0.046
27,24-02-25,14:15,18:30,buy,188.999,189.315,0.316
28,24-02-25,19:00,19:45,buy,189.38,189.117,-0.263
29,24-02-25,19:45,22:00,sell,189.117,189.194,-0.077
30,25-02-25,14:15,18:30,sell,188.618,189.616,-0.998
31,25-02-25,19:30,22:00,sell,189.15,188.354,0.796
32,26-02-25,16:00,20:15,buy,188.889,189.553,0.664
33,27-02-25,14:00,18:15,buy,189.604,189.566,-0.038
34,27-02-25,19:30,22:00,buy,189.267,189.274,0.007
35,28-02-25,16:00,20:15,buy,189.456,189.91,0.454
36,28-02-25,21:30,22:00,sell,189.494,189.444,0.05
37,03-03-25,14:00,18:15,buy,189.059,191.888,2.829
38,03-03-25,21:00,22:00,sell,190.842,190.742,0.1
39,04-03-25,14:15,18:30,sell,189.639,189.05,0.589
40,04-03-25,19:15,22:00,sell,188.56,189.328,-0.768
41,05-03-25,14:15,18:30,sell,191.658,191.696,-0.038
42,05-03-25,19:15,22:00,sell,191.085,190.992,0.093
43,06-03-25,14:15,18:30,sell,191.058,190.01,1.048
44,06-03-25,19:00,22:00,buy,190.216,190.864,0.648
45,07-03-25,14:00,18:15,sell,190.5,190.752,-0.252
46,10-03-25,14:00,18:15,sell,189.723,190.152,-0.429
47,10-03-25,19:00,19:15,buy,190.356,190.101,-0.255
48,10-03-25,19:15,22:00,sell,190.101,189.733,0.368
49,11-03-25,14:15,18:30,buy,190.444,191.372,0.928
50,11-03-25,19:15,22:00,sell,191.158,190.656,0.502
51,12-03-25,14:00,18:15,buy,191.948,193.022,1.074
52,12-03-25,19:00,22:00,sell,192.647,192.322,0.325
53,13-03-25,14:30,18:45,buy,191.6,191.568,-0.032
54,13-03-25,19:00,20:30,buy,191.699,191.382,-0.317
55,13-03-25,20:30,22:00,sell,191.382,191.254,0.128
56,14-03-25,16:15,18:45,buy,192.578,192.28,-0.298
57,14-03-25,18:45,20:30,sell,192.28,191.908,0.372
58,14-03-25,21:30,22:00,sell,191.673,191.61,0.063
59,17-03-25,19:00,19:45,buy,193.321,192.938,-0.383
60,17-03-25,19:45,22:00,sell,192.938,193.046,-0.108
61,18-03-25,14:00,18:15,sell,194.618,194.339,0.279
62,18-03-25,21:00,22:00,buy,194.146,194.136,-0.01
63,19-03-25,14:15,18:30,buy,194.128,194.204,0.076
64,19-03-25,19:15,20:30,buy,194.592,194.328,-0.264
65,19-03-25,20:30,22:00,sell,194.328,194.43,-0.102
66,20-03-25,14:30,18:45,sell,192.585,192.315,0.27
67,20-03-25,19:00,22:00,buy,192.588,192.903,0.315
68,21-03-25,14:30,18:45,sell,193.353,192.434,0.919
69,21-03-25,19:30,22:00,sell,192.474,192.502,-0.028
70,24-03-25,14:30,18:45,sell,193.668,193.751,-0.083
71,24-03-25,19:00,22:00,buy,193.885,194.29,0.405
72,25-03-25,19:15,22:00,sell,193.94,193.986,-0.046
73,26-03-25,14:45,19:00,sell,193.614,193.974,-0.36
74,26-03-25,19:15,22:00,sell,193.77,194.168,-0.398
75,27-03-25,14:00,18:15,buy,194.51,195.12,0.61
76,27-03-25,19:00,22:00,sell,194.934,195.826,-0.892
77,28-03-25,14:15,18:30,buy,194.892,195.255,0.363
78,28-03-25,19:00,22:00,sell,195.081,194.27,0.811
79,31-03-25,12:30,16:45,sell,192.8,193.184,-0.384
80,31-03-25,19:15,20:15,buy,193.524,193.029,-0.495
81,31-03-25,20:15,14:45,sell,193.029,193.56,-0.531
82,01-04-25,16:00,20:15,sell,192.99,192.902,0.088
83,02-04-25,13:30,17:45,sell,193.13,193.101,0.029
84,02-04-25,19:00,21:00,buy,193.475,194.539,1.064
85,03-04-25,13:00,17:15,sell,193.086,192.404,0.682
86,03-04-25,17:30,17:45,buy,192.656,192.326,-0.33
87,03-04-25,17:45,21:00,sell,192.326,191.666,0.66
88,04-04-25,13:00,17:15,sell,190.212,189.317,0.895
89,04-04-25,17:30,19:30,sell,189.023,188.446,0.577
90,04-04-25,19:45,20:30,sell,188.306,188.998,-0.692
91,07-04-25,13:45,14:45,buy,188.062,187.54,-0.522
92,07-04-25,14:45,16:15,sell,187.54,187.542,-0.002
93,07-04-25,17:00,18:30,sell,187.458,188.024,-0.566
94,08-04-25,13:00,17:15,sell,187.637,187.73,-0.093
95,08-04-25,17:30,21:00,sell,187.56,187.714,-0.154
96,09-04-25,13:15,17:30,sell,186.282,184.512,1.77
97,10-04-25,13:00,17:15,sell,188.392,188.196,0.196
98,10-04-25,17:30,21:00,sell,188.04,186.978,1.062
99,11-04-25,13:00,13:15,buy,186.938,186.656,-0.282
100,11-04-25,13:15,17:15,sell,186.656,186.64,0.016
101,11-04-25,17:30,18:30,buy,187.031,186.714,-0.317
102,11-04-25,18:30,21:00,sell,186.714,187.31,-0.596
103,14-04-25,13:00,17:15,buy,188.05,188.737,0.687
104,14-04-25,17:45,20:45,buy,188.791,188.521,-0.27
105,14-04-25,20:45,21:00,sell,188.521,188.676,-0.155
106,15-04-25,13:00,14:00,buy,189.492,189.08,-0.412
107,15-04-25,14:00,17:15,sell,189.08,189.082,-0.002
108,15-04-25,17:30,17:45,buy,189.162,188.858,-0.304
109,15-04-25,17:45,21:00,sell,188.858,189.242,-0.384
110,16-04-25,14:00,17:30,buy,189.438,189.08,-0.358
111,16-04-25,17:30,18:15,sell,189.08,189.062,0.018
112,16-04-25,19:15,21:00,sell,188.816,188.762,0.054
113,17-04-25,14:00,18:15,sell,188.954,188.532,0.422
114,17-04-25,19:45,21:00,sell,188.297,188.467,-0.17
,TOTAL,,,,,,16.329
