Serial No,Date,Entry Time,Exit Time,Position Type,Entry Price,Exit Price,Profit
1,06-02-25,14:30,15:00,buy,19022.2,18990.8,-31.4
2,06-02-25,15:00,17:30,sell,18990.8,18874.2,116.6
3,06-02-25,19:00,22:00,sell,18855.600000000002,18890.199999999997,-34.6
4,07-02-25,16:00,19:00,sell,18944.1,18871.8,72.3
5,07-02-25,19:15,20:30,buy,18888.8,18854.1,-34.7
6,07-02-25,20:30,22:00,sell,18854.1,18711.7,142.4
7,10-02-25,17:00,21:15,sell,18877.4,18783.8,93.6
8,11-02-25,16:30,20:45,buy,18820.0,18933.5,113.5
9,12-02-25,14:30,18:45,sell,19086.9,19108.3,-21.4
10,12-02-25,19:15,22:00,buy,19130.8,19225.2,94.4
11,13-02-25,14:00,18:15,sell,19232.4,19181.2,51.2
12,13-02-25,19:00,22:00,sell,19151.6,19183.2,-31.6
13,14-02-25,14:30,15:00,buy,19237.600000000002,19207.9,-29.7
14,14-02-25,15:00,18:45,sell,19207.9,19237.0,-29.1
15,14-02-25,19:45,22:00,buy,19200.8,19193.0,-7.8
16,17-02-25,14:15,18:30,sell,19108.699999999997,19080.3,28.4
17,17-02-25,19:30,22:00,sell,19068.4,19094.6,-26.2
18,18-02-25,14:00,18:15,sell,19160.6,19100.0,60.6
19,18-02-25,21:15,22:00,buy,19132.1,19141.6,9.5
20,19-02-25,14:30,15:00,buy,19146.8,19112.0,-34.8
21,19-02-25,15:00,18:45,sell,19112.0,19117.0,-5.0
22,19-02-25,19:15,22:00,sell,19100.2,19076.4,23.8
23,20-02-25,14:00,18:15,sell,18939.9,18911.1,28.8
24,20-02-25,19:00,22:00,buy,18918.199999999997,18918.0,-0.2
25,21-02-25,16:00,20:15,sell,19022.7,18959.399999999998,63.3
26,21-02-25,21:15,22:00,buy,18900.8,18905.4,4.6
27,24-02-25,14:15,18:30,buy,18899.899999999998,18931.5,31.6
28,24-02-25,19:00,19:45,buy,18938.0,18911.7,-26.3
29,24-02-25,19:45,22:00,sell,18911.7,18919.399999999998,-7.7
30,25-02-25,14:15,18:30,sell,18861.8,18961.600000000002,-99.8
31,25-02-25,19:30,22:00,sell,18915.0,18835.4,79.6
32,26-02-25,16:00,20:15,buy,18888.9,18955.3,66.4
33,27-02-25,14:00,18:15,buy,18960.4,18956.6,-3.8
34,27-02-25,19:30,22:00,buy,18926.7,18927.4,0.7
35,28-02-25,16:00,20:15,buy,18945.6,18991.0,45.4
36,28-02-25,21:30,22:00,sell,18949.4,18944.399999999998,5.0
37,03-03-25,14:00,18:15,buy,18905.9,19188.8,282.9
38,03-03-25,21:00,22:00,sell,19084.2,19074.2,10.0
39,04-03-25,14:15,18:30,sell,18963.9,18905.0,58.9
40,04-03-25,19:15,22:00,sell,18856.0,18932.8,-76.8
41,05-03-25,14:15,18:30,sell,19165.8,19169.6,-3.8
42,05-03-25,19:15,22:00,sell,19108.5,19099.2,9.3
43,06-03-25,14:15,18:30,sell,19105.8,19001.0,104.8
44,06-03-25,19:00,22:00,buy,19021.600000000002,19086.4,64.8
45,07-03-25,14:00,18:15,sell,19050.0,19075.2,-25.2
46,10-03-25,14:00,18:15,sell,18972.300000000003,19015.199999999997,-42.9
47,10-03-25,19:00,19:15,buy,19035.6,19010.1,-25.5
48,10-03-25,19:15,22:00,sell,19010.1,18973.3,36.8
49,11-03-25,14:15,18:30,buy,19044.399999999998,19137.2,92.8
50,11-03-25,19:15,22:00,sell,19115.8,19065.600000000002,50.2
51,12-03-25,14:00,18:15,buy,19194.8,19302.2,107.4
52,12-03-25,19:00,22:00,sell,19264.7,19232.2,32.5
53,13-03-25,14:30,18:45,buy,19160.0,19156.800000000003,-3.2
54,13-03-25,19:00,20:30,buy,19169.9,19138.2,-31.7
55,13-03-25,20:30,22:00,sell,19138.2,19125.399999999998,12.8
56,14-03-25,16:15,18:45,buy,19257.8,19228.0,-29.8
57,14-03-25,18:45,20:30,sell,19228.0,19190.8,37.2
58,14-03-25,21:30,22:00,sell,19167.3,19161.0,6.3
59,17-03-25,19:00,19:45,buy,19332.1,19293.8,-38.3
60,17-03-25,19:45,22:00,sell,19293.8,19304.6,-10.8
61,18-03-25,14:00,18:15,sell,19461.8,19433.9,27.9
62,18-03-25,21:00,22:00,buy,19414.6,19413.6,-1.0
63,19-03-25,14:15,18:30,buy,19412.8,19420.4,7.6
64,19-03-25,19:15,20:30,buy,19459.2,19432.8,-26.4
65,19-03-25,20:30,22:00,sell,19432.8,19443.0,-10.2
66,20-03-25,14:30,18:45,sell,19258.5,19231.5,27.0
67,20-03-25,19:00,22:00,buy,19258.8,19290.3,31.5
68,21-03-25,14:30,18:45,sell,19335.3,19243.4,91.9
69,21-03-25,19:30,22:00,sell,19247.399999999998,19250.2,-2.8
70,24-03-25,14:30,18:45,sell,19366.8,19375.100000000002,-8.3
71,24-03-25,19:00,22:00,buy,19388.5,19429.0,40.5
72,25-03-25,19:15,22:00,sell,19394.0,19398.6,-4.6
73,26-03-25,14:45,19:00,sell,19361.4,19397.399999999998,-36.0
74,26-03-25,19:15,22:00,sell,19377.0,19416.8,-39.8
75,27-03-25,14:00,18:15,buy,19451.0,19512.0,61.0
76,27-03-25,19:00,22:00,sell,19493.4,19582.6,-89.2
77,28-03-25,14:15,18:30,buy,19489.2,19525.5,36.3
78,28-03-25,19:00,22:00,sell,19508.1,19427.0,81.1
79,31-03-25,12:30,16:45,sell,19280.0,19318.4,-38.4
80,31-03-25,19:15,20:15,buy,19352.4,19302.9,-49.5
81,31-03-25,20:15,14:45,sell,19302.9,19356.0,-53.1
82,01-04-25,16:00,20:15,sell,19299.0,19290.199999999997,8.8
83,02-04-25,13:30,17:45,sell,19313.0,19310.1,2.9
84,02-04-25,19:00,21:00,buy,19347.5,19453.899999999998,106.4
85,03-04-25,13:00,17:15,sell,19308.600000000002,19240.4,68.2
86,03-04-25,17:30,17:45,buy,19265.600000000002,19232.6,-33.0
87,03-04-25,17:45,21:00,sell,19232.6,19166.6,66.0
88,04-04-25,13:00,17:15,sell,19021.199999999997,18931.7,89.5
89,04-04-25,17:30,19:30,sell,18902.3,18844.6,57.7
90,04-04-25,19:45,20:30,sell,18830.600000000002,18899.8,-69.2
91,07-04-25,13:45,14:45,buy,18806.2,18754.0,-52.2
92,07-04-25,14:45,16:15,sell,18754.0,18754.2,-0.2
93,07-04-25,17:00,18:30,sell,18745.8,18802.4,-56.6
94,08-04-25,13:00,17:15,sell,18763.7,18773.0,-9.3
95,08-04-25,17:30,21:00,sell,18756.0,18771.4,-15.4
96,09-04-25,13:15,17:30,sell,18628.2,18451.2,177.0
97,10-04-25,13:00,17:15,sell,18839.2,18819.6,19.6
98,10-04-25,17:30,21:00,sell,18804.0,18697.8,106.2
99,11-04-25,13:00,13:15,buy,18693.8,18665.600000000002,-28.2
100,11-04-25,13:15,17:15,sell,18665.600000000002,18664.0,1.6
101,11-04-25,17:30,18:30,buy,18703.100000000002,18671.4,-31.7
102,11-04-25,18:30,21:00,sell,18671.4,18731.0,-59.6
103,14-04-25,13:00,17:15,buy,18805.0,18873.7,68.7
104,14-04-25,17:45,20:45,buy,18879.1,18852.1,-27.0
105,14-04-25,20:45,21:00,sell,18852.1,18867.6,-15.5
106,15-04-25,13:00,14:00,buy,18949.2,18908.0,-41.2
107,15-04-25,14:00,17:15,sell,18908.0,18908.2,-0.2
108,15-04-25,17:30,17:45,buy,18916.2,18885.8,-30.4
109,15-04-25,17:45,21:00,sell,18885.8,18924.2,-38.4
110,16-04-25,14:00,17:30,buy,18943.8,18908.0,-35.8
111,16-04-25,17:30,18:15,sell,18908.0,18906.2,1.8
112,16-04-25,19:15,21:00,sell,18881.6,18876.2,5.4
113,17-04-25,14:00,18:15,sell,18895.4,18853.2,42.2
114,17-04-25,19:45,21:00,sell,18829.7,18846.7,-17.0
,TOTAL,,,,,,1632.9
